iter	Logloss
0	0.6846760566
1	0.6768907464
2	0.6693276811
3	0.6622604335
4	0.6566927554
5	0.6510905277
6	0.6460551798
7	0.6411751177
8	0.6366815057
9	0.6327909071
10	0.6293287028
11	0.6258322259
12	0.6224651289
13	0.6194189769
14	0.6165883055
15	0.613845139
16	0.6114522561
17	0.6092013843
18	0.607002461
19	0.6045726886
20	0.6024504599
21	0.6003600617
22	0.5984585328
23	0.5968707951
24	0.594846904
25	0.5931945736
26	0.5916735528
27	0.5901732205
28	0.5889863438
29	0.587688938
30	0.5862719707
31	0.5848934858
32	0.5837805917
33	0.5824668002
34	0.5812784082
35	0.5801446375
36	0.5789616962
37	0.5779115983
38	0.5769184442
39	0.5758228714
40	0.5748688517
41	0.5737179822
42	0.5728572736
43	0.5718921634
44	0.5709300997
45	0.5699764874
46	0.5689413176
47	0.5681030366
48	0.567299748
49	0.5663883168
50	0.5655566131
51	0.5646667267
52	0.5637102627
53	0.5628857799
54	0.5621379416
55	0.5614595361
56	0.5608174586
57	0.5599127954
58	0.5592351416
59	0.5586283402
60	0.5580858072
61	0.5573002967
62	0.556747556
63	0.5559551763
64	0.555383534
65	0.5548120247
66	0.5540731031
67	0.5534559914
68	0.5525370797
69	0.551858484
70	0.5511764032
71	0.5503823106
72	0.549849884
73	0.5488295526
74	0.5482903698
75	0.5477109966
76	0.547275837
77	0.5467636271
78	0.5462379056
79	0.5457775902
80	0.54522287
81	0.5447184054
82	0.5442126379
83	0.5437153145
84	0.5430714388
85	0.5426170055
86	0.5415805161
87	0.5410783752
88	0.5404284199
89	0.5399528256
90	0.5396076029
91	0.5391965777
92	0.5388399917
93	0.5384260474
94	0.5379439425
95	0.5375013874
96	0.5370239668
97	0.536597531
98	0.5361471327
99	0.5355119608
100	0.5349160266
101	0.5345409801
102	0.5341164347
103	0.5337924013
104	0.5330391383
105	0.5324790518
106	0.5320462921
107	0.5316013978
108	0.5312805675
109	0.5309628771
110	0.5306593759
111	0.5303627504
112	0.5298823247
113	0.5295205643
114	0.5290979123
115	0.5287454013
116	0.5283314562
117	0.5279836707
118	0.527568669
119	0.5272187138
120	0.5269084741
121	0.5266167023
122	0.5263117493
123	0.5260217647
124	0.5257319183
125	0.5253802895
126	0.5250642739
127	0.5246351782
128	0.5242055465
129	0.5238706345
130	0.5235756715
131	0.5233183003
132	0.5230570128
133	0.5226978135
134	0.5224603263
135	0.5220972292
136	0.5218676558
137	0.5214039046
138	0.5209677173
139	0.5207151398
140	0.5204184826
141	0.5201327648
142	0.5198650221
143	0.5195460096
144	0.5191380704
145	0.5188742752
146	0.5186654921
147	0.5181276514
148	0.5178579641
149	0.5175784639
150	0.5173329077
151	0.5170238182
152	0.5167803406
153	0.516478825
154	0.5162794155
155	0.5160526492
156	0.5155687099
157	0.515300782
158	0.515061815
159	0.5146619887
160	0.5143275983
161	0.5141373584
162	0.5138864291
163	0.5135677994
164	0.5133978107
165	0.5130483594
166	0.5127932372
167	0.5125985025
168	0.5123362048
169	0.5119938319
170	0.5116861588
171	0.5115168702
172	0.5112701329
173	0.5109798256
174	0.5107656409
175	0.5104902454
176	0.5102686601
177	0.5100117794
178	0.5097655563
179	0.5095762298
180	0.5092360115
181	0.5090521215
182	0.5088246917
183	0.5085456726
184	0.5083864562
185	0.5081185972
186	0.5079671798
187	0.5077343637
188	0.5074594931
189	0.5071123757
190	0.5069225057
191	0.5066224571
192	0.5063340215
193	0.5060125766
194	0.5056632267
195	0.5053791087
196	0.5052114453
197	0.5049768564
198	0.5047744141
199	0.5044733729
200	0.5042561995
201	0.5040520465
202	0.5038841918
203	0.5036520086
204	0.5034796446
205	0.5032965462
206	0.5031075327
207	0.5028821293
208	0.5026851607
209	0.5024655911
210	0.5022080525
211	0.5019159214
212	0.501667347
213	0.5014410327
214	0.5011988568
215	0.500749646
216	0.5005805844
217	0.5003891448
218	0.5001034973
219	0.4999014308
220	0.4996645172
221	0.4994121758
222	0.4992181994
223	0.4989497291
224	0.4987696816
225	0.498585804
226	0.4983218381
227	0.4979670153
228	0.4977669522
229	0.4974659144
230	0.4971500657
231	0.4969680496
232	0.4966077832
233	0.4964320759
234	0.4962300249
235	0.496072223
236	0.4958689249
237	0.4956788865
238	0.4955049723
239	0.4952252536
240	0.4950045232
241	0.4948125856
242	0.4945871984
243	0.4943567722
244	0.4941184584
245	0.4939111846
246	0.4937601502
247	0.4934056172
248	0.4932216755
249	0.4930532297
250	0.4927048469
251	0.4924955116
252	0.4922624551
253	0.4920716104
254	0.4918008393
255	0.491613674
256	0.4912304983
257	0.4908744531
258	0.490670525
259	0.4903862099
260	0.4901402743
261	0.4897782573
262	0.4895078533
263	0.489338438
264	0.4891105842
265	0.4889460463
266	0.488762918
267	0.488533953
268	0.4882650283
269	0.4879938068
270	0.4877588881
271	0.4876117973
272	0.4873893695
273	0.4872148817
274	0.4869991084
275	0.4868398266
276	0.486636714
277	0.4863591061
278	0.4861921536
279	0.4859803013
280	0.4858200179
281	0.485575512
282	0.4853827915
283	0.4852437975
284	0.4850681519
285	0.4848914369
286	0.48468761
287	0.4844653806
288	0.4842881263
289	0.48417189
290	0.4839751024
291	0.4835475567
292	0.4833292448
293	0.483167198
294	0.4829402088
295	0.4827803944
296	0.4825126245
297	0.4821961218
298	0.4820264804
299	0.481829983
300	0.4815899845
301	0.4813546038
302	0.4811776276
303	0.4808870014
304	0.4806468175
305	0.4805056015
306	0.4802775387
307	0.4800358021
308	0.4798988385
309	0.4797411545
